name,rating,summary,text
NICHOLAS,5,It's awesome,It has a quality sound.
George,5,Everything is great,Perfect 
ouris watson,5,Great product,Quality product i keep ordering from Junia because the keep meeting my expectations
Faith,5,I like it.,It's a good product 
Owiti Charles,5,ORIGINAL ITEM DELIVERED,"Short delivery time,the item I ordered is what was delivered,best quality item. Love it. I thank Anne for guiding me to place the order."
Steve,5,I like the product.,Comes with Google TV too. Huge bargain ????
Bill,5,I like it,Exact as ordered
Maina Ngenyi,5,I love it,Crystal clear images
Patrick,5,Amazing,I have already bought two using my account for my friends. The display is amazing. I has never frustrated.
Kipkemoi,5,value,Quality pictures 
Mateja,4,I like it but....,The product was delivered with a scratch on the screen though it functions well
EM,5,Love it,Buy it now!
Philip,5,I like it,Very nice ????
Edwin,5,I love it,Awesome Display and easy to use
Achie,5,Great,The picture quality and functionality is great.
Francis,5,i love it,i love it
Martin,5,skyworth,Got it yesterday and the settings were very direct. I can't complain. To my expectations.
DCO,4,Quality of service,Product meets my expectation accompanied by good customer care service 
JANE,5,I like it,I like it
MD,4,Good clarity,Good Clarity
Michael,4,Much more than I expected,The overall experience is great. I haven't had any problems ever since I purchased the product.
Josephine,5,the best,"Clear pictures, YouTube Netflix all working well
"
Frank,5,I love it,"Good features, good clarity pic. Affordable price.."
martin,4,I love it,It clear and slick
Edison,5,I like it,"This tv is so dope I love it ???? easy to use also, picture quality is to notch"
Colleen,5,Like it,Got what I ordered so far so good working well
Joyce,5,Nice..,It's better than I actually expected. I love it 
Brian,5,I love it,Skyworth never dissapoints
Lavenda,5,I adore it,The tv is just so awesome...the visual is top notch
Oliver,4,Awesome,"As advertised ???? . 3 weeks now, still cool. Best matches the price"
Lawrence,4,SKYWORTH TV,"The item arrived in good condition and it is also a good TV. Worth the money. However, you guys should protect our data, I was nearly conned off my money for this particular order."
Ezekiel,3,bad resolution,Resolution is not clear.am really struggling with the settings to get a clear resolution 
Ezekiel,3,bad resolution,Resolution is not clear.am really struggling with the settings to get a clear resolution 
Sophie,5,this is your sign to buy it,"bought it and i remember taking almost two weeks before deciding whether to buy it or not. I am glad i did, sound and display are ok, netflix youtube working, really huge"
